url,station,difficulty
https://media.discordapp.net/attachments/1227224314483576982/1235187952674668564/20240402_150626.jpg?ex=663375ec&is=6632246c&hm=8cbf37b8a86c1d0787960e4e6fe43fae59785f438fe7b5af25cf95a324b1aba2&=&format=webp&width=583&height=437,Ballarat,Medium
https://media.discordapp.net/attachments/1227224314483576982/1235188647280509009/20240405_094759.jpg?ex=66337692&is=66322512&hm=c53419e7e8bc59900adcb89f7c4cc5e0c03c4b00a6a935121206ce376ff0b7d6&=&format=webp&width=1048&height=786,Laverton,Medium
https://media.discordapp.net/attachments/1227224314483576982/1235190319310700645/20240405_101521_1.jpg?ex=66337820&is=663226a0&hm=84b9b2993c00bc16c599da0f316d57262071e4507a0f2511bf18233d0518b166&=&format=webp&width=328&height=437,North Melbourne,Easy
https://img-l.ink/img/1DxGsqsFpcKs_bn53LYCPsQzpL8samv-t.jpeg,Armadale,Hard
https://media.discordapp.net/attachments/1235348461893976075/1235350836264304743/IMG_5543.png?ex=66355f1f&is=66340d9f&hm=a8f7af65e8fc30417c27222921a4ca1d8fd864cd122cd82b3fd6477b3329797f&=&format=webp&quality=lossless&width=592&height=786,Morradoo,Hard
https://media.discordapp.net/attachments/1235385086174691400/1235385897722052628/IMG_5559.jpg?ex=6634d706&is=66338586&hm=255584334158ce875235019b047c9808f9d0a11a4052da3617c2db54fc3560aa&=&format=webp&width=1048&height=786,Preston,Hard
https://media.discordapp.net/attachments/1225026918525702205/1235357152105857054/IMG_5633.png?ex=66356500&is=66341380&hm=204d9833b0acf3baaec03dc2e3bb9e390ca1bd8746e9876691e3b451829b9b61&=&format=webp&quality=lossless&width=452&height=785,noble park,Hard
https://media.discordapp.net/attachments/1225026918525702205/1235357152676151386/IMG_5607.jpg?ex=66356501&is=66341381&hm=dbf0671f4856163d535bab2aca495ac41832ab0ead0491a2e22a285698cf1c1d&=&format=webp&width=590&height=786,bentleigh,Hard
https://media.discordapp.net/attachments/1225026918525702205/1235357153330466816/IMG_4826.jpg?ex=66356501&is=66341381&hm=63470c702a67b4c887d2d47764ecf5c8a34c90d2eda2fca9d6f96c1bbd708a89&=&format=webp&width=590&height=786,caulfield,Medium
https://media.discordapp.net/attachments/1225026918525702205/1235357153779384430/IMG_4639.jpg?ex=66356501&is=66341381&hm=d1b747fedca14f1af5ec409e31aff187c20010734ceb2ad66539b4d484860933&=&format=webp&width=590&height=786,east malvern,Hard
