Waratah A set fleet,,,,
Set number:,Formation:,Status:,Livery:,Fact/Note:
H13,OD6927-ONL5963-ON5913-OD6928,In service,CityRail with ST logo's,
H14,OD6929-ONL5964-ON5914-OD6930,In service,CityRail with ST logo's,
H15,OD6931-ONL5965-ON5915-OD6932,In service,CityRail with ST logo's,
H16,OD6933-ONL5966-ON5916-OD6934,In service,CityRail with ST logo's,
H17,OD6935-ONL5967-ON5917-OD6936,In service,CityRail with ST logo's,
H18,OD6937-ONL5968-ON5918-OD6938,In service,CityRail with ST logo's,
H19,OD6939-ONL5969-ON5919-OD6940,In service,CityRail with ST logo's,
H20,OD6941-ONL5970-ON5920-OD6942,In service,CityRail with ST logo's,
H21,OD6943-ONL5971-ON5921-OD6944,In service,CityRail with ST logo's,
H22,OD6945-ONL5972-ON5922-OD6946,In service,CityRail with ST logo's,
H23,OD6947-ONL5973-ON5923-OD6948,In service,CityRail with ST logo's,
H24,OD6949-ONL5974-ON5924-OD6950,In service,CityRail with ST logo's,
H25,OD6951-ONL5975-ON5925-OD6952,In service,CityRail with ST logo's,
H26,OD6953-ONL5976-ON5926-OD6954,In service,CityRail with ST logo's,
H27,OD6955-ONL5977-ON5927-OD6956,In service,CityRail with ST logo's,
H28,OD6957-ONL5978-ON5928-OD6958,In service,CityRail with ST logo's,
H29,OD6959-ONL5979-ON5929-OD6960,In service,CityRail with ST logo's,
H30,OD6961-ONL5980-ON5930-OD6962,In service,CityRail with ST logo's,
H31,OD6963-ONL5981-ON5931-OD6964,In service,CityRail with ST logo's,
H32,OD6965-ONL5982-ON5932-OD6966,In service,CityRail with ST logo's,
H33,OD6967-ONL5983-ON5933-OD6968,In service,CityRail with ST logo's,
H34,OD6969-ONL5984-ON5934-OD6970,In service,CityRail with ST logo's,
H35,OD6971-ONL5985-ON5935-OD6972,In service,CityRail with ST logo's,
H36,OD6973-ONL5986-ON5936-OD6974,In service,CityRail with ST logo's,
H37,OD6975-ONL5987-ON5937-OD6976,In service,CityRail with ST logo's,
H38,OD6977-ONL5988-ON5938-OD6978,In service,CityRail with ST logo's,
H39,OD6979-ONL5989-ON5939-OD6980,In service,CityRail with ST logo's,
H40,OD6981-ONL5990-ON5940-OD6982,In service,CityRail with ST logo's,
H41,OD6983-ONL5991-ON5941-OD6984,In service,CityRail with ST logo's,
H42,OD6985-ONL5992-ON5942-OD6986,In service,CityRail with ST logo's,
H43,OD6987-ONL5993-ON5943-OD6988,In service,CityRail with ST logo's,
H44,OD6989-ONL5994-ON5944-OD6990,In service,CityRail with ST logo's,
H45,OD6991-ONL5995-ON5945-OD6992,In service,CityRail with ST logo's,
H46,OD6993-ONL5996-ON5946-OD6994,In service,CityRail with ST logo's,
H47,OD6995-ONL5997-ON5947-OD6996,In service,CityRail with ST logo's,
H48,OD6997-ONL5998-ON5948-OD6998,In service,CityRail with ST logo's,
H49,OD6921-ONL5999-ON5949-OD6922,In service,CityRail with ST logo's,
H50,OD6843-ONL5871-ON5821-OD6844,In service,CityRail with ST logo's,
H51,OD6845-ONL5872-ON5822-OD6846,In service,CityRail with ST logo's,
H52,OD6847-ONL5873-ON5823-OD6848,In service,CityRail with ST logo's,
H53,OD6849-ONL5874-ON5824-OD6850,In service,CityRail with ST logo's,
H54,OD6851-ONL5875-ON5825-OD6852,In service,CityRail with ST logo's,
H55,OD6853-ONL5876-ON5826-OD6854,In service,Koori Kockout special,"In 2019, H55 was given an indigenous livery in support of the Koori Knockout. It also has ""Bring the mob home safely"" on one of the carriages."
,,,,
Hunter J set fleet,,,,
Set number:,Formation:,Status:,Livery:,Fact/Note:
J1,HM2701-HMT2751,In service,NSW TrainLink,
J2,HM2702-HMT2752,In service,NSW TrainLink,
J3,HM2703-HMT2753,In service,NSW TrainLink,
J4,HM2704-HMT2754,In service,NSW TrainLink,
J5,HM2705-HMT2755,In service,NSW TrainLink,
J6,HM2706-HMT2756,In service,NSW TrainLink,
J7,HM2707-HMT2757,In service,NSW TrainLink,J7 was the first J set to be fully refurbished back in 2014.
,,,,
K set fleet,,,,
Set number:,Formation:,Status:,Livery:,Fact/Note:
K60,Not applicable.,In service,Sydney Trains,Ran the last revenue service through Sydenham platforms 1&2 prior to their closure for conversion to Metro
K61,Not applicable.,In service,Sydney Trains,
K62,Not applicable.,In service,Sydney Trains,
K63,Not applicable.,In service,Sydney Trains,
K64,Not applicable.,In service,Sydney Trains,
K65,Not applicable.,In service,Sydney Trains,
K66,Not applicable.,In service,Sydney Trains,
K67,Not applicable.,In service,Sydney Trains,
K68,Not applicable.,In service,Sydney Trains,
K69,Not applicable.,In service,Sydney Trains,
K70,Not applicable.,In service,Sydney Trains,
K71,Not applicable.,In service,Sydney Trains,
K72,Not applicable.,In service,Sydney Trains,
K73,Not applicable.,In service,Sydney Trains,
K74,Not applicable.,In service,Sydney Trains,K74 held the honour of running the last revenue K set service on the Carlingford line prior to closure in 2020.
K75,Not applicable.,In service,Sydney Trains,
K76,Not applicable.,In service,Sydney Trains,
K77,Not applicable.,In service,Sydney Trains,
K78,Not applicable.,In service,Sydney Trains,
K79,Not applicable.,In service,Sydney Trains,
K80,Not applicable.,In service,Sydney Trains,
K81,Not applicable.,In service,Sydney Trains,
K82,Not applicable.,In service,Sydney Trains,
K83,Not applicable.,In service,Sydney Trains,
K84,Not applicable.,In service,Sydney Trains,
K85,Not applicable.,In service,Sydney Trains,
K86,Not applicable.,In service,Sydney Trains,
K87,Not applicable.,In service,Sydney Trains,
K88,Not applicable.,In service,Sydney Trains,
K89,Not applicable.,In service,Sydney Trains,
K90,Not applicable.,In service,Sydney Trains,
K91,Not applicable.,In service,Sydney Trains,
K92,Not applicable.,In service,Sydney Trains,
K93,Not applicable.,In service,Sydney Trains,
K94,Not applicable.,In service,Sydney Trains,"Became the ""Tekno Train"" for Vivid Sydney 2024"
K95,Not applicable.,In service,Sydney Trains,
K96,Not applicable.,In service,Sydney Trains,
K97,Not applicable.,In service,Sydney Trains,Ran the last revenue service through Sydenham platforms 1&2 prior to their closure for conversion to Metro
K98,Not applicable.,In service,Sydney Trains,
K99,Not applicable.,In service,Sydney Trains,
,,,,
Millenium M set fleet,,,,
Set number:,Formation:,Status:,Livery:,Fact/Note:
M1,D1001-N1501-N1502-D1002,In service,CityRail with ST logo's,Inside of doors are grey instead of white.
M2,D1003-N1503-N1504-D1004,In service,CityRail with ST logo's,
M3,D1005-N1505-N1506-D1006,In service,CityRail with ST logo's,M3 was the first M set to enter service.
M4,D1007-N1507-N1508-D1008,In service,CityRail with ST logo's,
M5,D1009-N1509-N1510-D1010,In service,CityRail with ST logo's,
M6,D1011-N1511-N1512-D1012,In service,CityRail with ST logo's,
M7,D1013-N1513-N1514-D1014,In service,CityRail with ST logo's,
M8,D1015-N1515-N1516-D1016,In service,CityRail with ST logo's,
M9,D1017-N1517-N1518-D1018,In service,CityRail with ST logo's,
M10,D1019-N1519-N1520-D1020,In service,CityRail with ST logo's,
M11,D1021-N1521-N1522-D1022,In service,CityRail with ST logo's,
M12,D1023-N1523-N1524-D1024,In service,CityRail with ST logo's,
M13,D1025-N1525-N1526-D1026,In service,CityRail with ST logo's,
M14,D1027-N1527-N1528-D1028,In service,CityRail with ST logo's,
M15,D1029-N1529-N1530-D1030,In service,CityRail with ST logo's,
M16,D1031-N1531-N1532-D1032,In service,CityRail with ST logo's,
M17,D1033-N1533-N1534-D1034,In service,CityRail with ST logo's,
M18,D1035-N1535-N1536-D1036,In service,CityRail with ST logo's,
M19,D1037-N1537-N1538-D1038,In service,CityRail with ST logo's,
M20,D1039-N1539-N1540-D1040,In service,CityRail with ST logo's,
M21,D1041-N1541-N1542-D1042,In service,CityRail with ST logo's,
M22,D1043-N1543-N1544-N1044,In service,CityRail with ST logo's,
M23,D1045-N1545-N1546-N1046,In service,CityRail with ST logo's,
M24,D1047-N1547-N1548-N1048,In service,CityRail with ST logo's,
M25,D1049-N1549-N1550-N1050,In service,CityRail with ST logo's,
M26,D1051-N1551-N1552-D1052,In service,CityRail with ST logo's,
M27,D1053-N1553-N1554-D1054,In service,CityRail with ST logo's,
M28,D1055-N1555-N1556-D1056,In service,CityRail with ST logo's,Former ATP test train.
M29,D1057-N1557-N1558-D1058,In service,CityRail with ST logo's,
M30,D1059-N1559-N1560-D1060,In service,CityRail with ST logo's,Ran the last revenue service on the Carlingford Line before its closure in 2020.
M31,D1061-N1561-N1562-D1062,In service,CityRail with ST logo's,
M32,D1063-N1563-N1564-D1064,In service,CityRail with ST logo's,
M33,D1065-N1565-N1566-D1066,In service,CityRail with ST logo's,
M34,D1067-N1567-N1568-D1068,In service,CityRail with ST logo's,
M35,D1069-N1569-N1570-D1070,In service,CityRail with ST logo's,
,,,,
Endeavour N set fleet,,,,
Set number:,Formation,Status:,Livery:,Fact/Note:
N1,TE2801-LE2851,In service,NSW TrainLink,Wears the NSW TrainLink livery.
N2,TE2802-LE2852,In service,NSW TrainLink,Wears the NSW TrainLink livery.
N3,TE2803-LE2853,In service,Ex CityRail,
N4,TE2804-LE2854,In service,Ex CityRail,
N5,TE2805-LE2855,In service,Ex CityRail,
N6,TE2806-LE2856,In service,Ex CityRail,
N7,TE2807-LE2857,In service,Ex CityRail,
N8,TE2808-LE2858,In service,Ex CityRail,
N9,TE2809-LE2859,In service,Ex CityRail,
N10,TE2810-LE2860,In service,Ex CityRail,
N11,TE2811-LE2861,In service,Ex CityRail,
N12,TE2812-LE2862,In service,Ex CityRail,
N13,TE2813-LE2863,In service,Ex CityRail,Seen in the Peter Rabbit (2018) film.
N14,TE2814-LE2864,Converted,Ex CountryLink,Converted into an Xplorer set (P8).
,,,,
Tangara T set fleet,,,,
Set number:,Formation:,Status:,Livery:,Fact/Note:
T1,D-N-N-D,In service,Sydney Trains,
T2,D-N-N-D,In service,Sydney Trains,
T3,D-N-N-D,In service,Sydney Trains,
T4,D-N-N-D,In service,Sydney Trains,
T5,D-N-N-D,In service,Sydney Trains,
T6,D-N-N-D,In service,Sydney Trains,
T7,D-N-N-D,In service,Sydney Trains,
T8,D-N-N-D,In service,Sydney Trains,
T9,D-N-N-D,In service,Sydney Trains,
T10,D-N-N-D,In service,Sydney Trains,
T11,D-N-N-D,In service,Sydney Trains,Ex T82
T12,D-N-N-D,In service,Sydney Trains,
T13,D-N-N-D,In service,Sydney Trains,Former ATP test train.
T14,D-N-N-D,In service,Sydney Trains,
T15,D-N-N-D,In service,Sydney Trains,
T16,D-N-N-D,In service,Sydney Trains,
T17,D-N-N-D,In service,Sydney Trains,
T18,D-N-N-D,In service,Sydney Trains,
T19,D-N-N-D,In service,Sydney Trains,
T20,D-N-N-D,In service,Sydney Trains,First T set to enter service.
T21,D-N-N-D,In service,Sydney Trains,
T22,D-N-N-D,In service,Sydney Trains,
T23,D-N-N-D,In service,Sydney Trains,Ex T85
T24,D-N-N-D,In service,Sydney Trains,
T25,D-N-N-D,In service,Sydney Trains,
T26,D-N-N-D,In service,Sydney Trains,
T27,D-N-N-D,In service,Sydney Trains,
T28,D-N-N-D,In service,Sydney Trains,
T29,D-N-N-D,In service,Sydney Trains,
T30,D-N-N-D,In service,Sydney Trains,
T31,D-N-N-D,In service,Sydney Trains,
T32,D-N-N-D,In service,Sydney Trains,
T33,D-N-N-D,In service,Sydney Trains,
T34,D-N-N-D,In service,Sydney Trains,
T35,D-N-N-D,In service,Sydney Trains,
T36,D-N-N-D,In service,Sydney Trains,
T37,D-N-N-D,In service,Sydney Trains,
T38,D-N-N-D,In service,Sydney Trains,
T39,D-N-N-D,In service,Sydney Trains,
T40,D-N-N-D,Inactive,Sydney Trains,Inactive for some unknown reason.
T41,D-N-N-D,In service,Sydney Trains,
T42,D-N-N-D,In service,Sydney Trains,
T43,D-N-N-D,In service,Sydney Trains,
T44,D-N-N-D,In service,Sydney Trains,
T45,D-N-N-D,In service,Sydney Trains,
T46,D-N-N-D,In service,Sydney Trains,
T47,D-N-N-D,In service,Sydney Trains,
T48,D-N-N-D,In service,Sydney Trains,
T49,D-N-N-D,In service,Sydney Trains,
T50,D-N-N-D,In service,Sydney Trains,
T51,D-N-N-D,In service,Sydney Trains,
T52,D-N-N-D,In service,Sydney Trains,Ex T66
T53,D-N-N-D,In service,Sydney Trains,Ex T84. Ran with T74 for the last service on the Epping-Chatswood Rail Link (ECRL) before conversion to Metro.
T54,D-N-N-D,In service,Sydney Trains,Ex T87
T57,D-N-N-D,In service,Sydney Trains,
T58,D-N-N-D,In service,Sydney Trains,
T59,D-N-N-D,In service,Sydney Trains,Last suburban T set built
T60,D-N-N-D,In service,Sydney Trains,
T61,D-N-N-D,In service,Sydney Trains,
T62,D-N-N-D,In service,Sydney Trains,
T63,D-N-N-D,In service,Sydney Trains,
T64,D-N-N-D,In service,Sydney Trains,
T65,D-N-N-D,In service,Sydney Trains,Has Waratah inspired gangways
T67,D-N-N-D,In service,Sydney Trains,
T68,D-N-N-D,In service,Sydney Trains,
T69,D-N-N-D,In service,Sydney Trains,
T70,D-N-N-D,In service,Sydney Trains,Second T set built
T71,D-N-N-D,In service,Sydney Trains,
T72,D-N-N-D,In service,Sydney Trains,Second T set to receive Tangara Technology Upgrade
T73,D-N-N-D,In service,Sydney Trains,
T74,D-N-N-D,In service,Sydney Trains,
T75,D-N-N-D,In service,Sydney Trains,
T76,D-N-N-D,Inactive,Sydney Trains,Inactive for some unknown reason. First T set to receive 2010 interior refurbishment.
T77,D-N-N-D,In service,Sydney Trains,
T78,D-N-N-D,In service,Sydney Trains,
T79,D-N-N-D,In service,Sydney Trains,
T80,D-N-N-D,In service,Sydney Trains,
T81,D-N-N-D,In service,Sydney Trains,
T83,D-N-N-D,In service,Sydney Trains,
T86,D-N-N-D,In service,Sydney Trains,
T88,D-N-N-D,In service,Sydney Trains,
T89,D-N-N-D,In service,Sydney Trains,
T90,D-N-N-D,In service,Sydney Trains,
T91,D-N-N-D,In service,Sydney Trains,
T92,D-N-N-D,In service,Sydney Trains,
T93,D-N-N-D,In service,Sydney Trains,
T94,D-N-N-D,In service,Sydney Trains,
T95,D-N-N-D,In service,Sydney Trains,
T96,D-N-N-D,In service,Sydney Trains,First T set to receive M set style doors
T97,D-N-N-D,In service,Sydney Trains,
T98,D-N-N-D,In service,Sydney Trains,
T99,D-N-N-D,In service,Sydney Trains,
T100,OD-ONL-ON-OD,In service,Sydney Trains,Ex T132/G32. Last G set built. 
T101,OD-ONL-ON-OD,In service,Sydney Trains,Ex G1
T102,OD-ONL-ON-OD,In service,Sydney Trains,Ex G10
T103,OD-ONL-ON-OD,In service,Sydney Trains,Ex G3
T104,OD-ONL-ON-OD,In service,Sydney Trains,Ex G4. First G set to be converted.
T105,OD-ONL-ON-OD,In service,Sydney Trains,Ex G5
